"Language"	"ISO 639-1 Code"	"ISO 639-2 Code/B"	"Link text"
"Bulgarian"	"bg"	"bul"	"Преминете към основното съдържание"
"Czech"	"cs"	"cze"	"Přeskočit na hlavní obsah"
"Danish"	"da"	"dan"	"Gå til hovedindhold"
"German"	"de"	"ger"	"Zum Hauptinhalt springen"
"Greek"	"el"	"gre"	"Μετάβαση στο κύριο περιεχόμενο"
"English"	"en"	"eng"	"Skip to main content"
"Spanish"	"es"	"spa"	"Saltar al contenido principal"
"Estonian"	"et"	"est"	"Otse põhisisu juurde"
"Finnish"	"fi"	"fin"	"Hyppää pääsisältöön"
"French"	"fr"	"fre"	"Passer au contenu principal"
"Hungarian"	"hu"	"hun"	"Ugrás a tartalomra"
"Italian"	"it"	"ita"	"Passa al contenuto principale"
"Japanese"	"ja"	"jpn"	"メインコンテンツへスキップ"
"Korean"	"ko"	"kor"	"메인 컨텐츠로 가기"
"Lithuanian"	"lt"	"lit"	"Pereiti prie pagrindinio turinio"
"Latvian"	"lv"	"lav"	"Pāriet uz galveno saturu"
"Dutch"	"nl"	"dut"	"Ga naar hoofdinhoud"
"Norwegian"	"no"	"nor"	"Hopp til hovedinnhold"
"Polish"	"pl"	"pol"	"Przejdź do głównej treści"
"Portuguese"	"pt"	"por"	"Saltar para o conteúdo principal"
"Romanian"	"ro"	"rum"	"Salt la conținutul principal"
"Russian"	"ru"	"rus"	"Перейти к основному содержанию"
"Swedish"	"sv"	"swe"	"Hoppa till huvudinnehåll"
"Thai"	"th"	"tha"	"ข้ามไปที่เนื้อหาหลัก"
"Turkish"	"tr"	"tur"	"Ana içeriğe geç"
"Ukrainian"	"uk"	"ukr"	"Перейти до основного вмісту"
"Simple Chinese"	"zh"		
"Traditional Chinese"	"zh"		
"Filipino"		"fil"	"Laktawan sa pangunahing nilalaman"
